STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00094728,"NY CITY CENTRAL PARK, NY US",5/27/2013,3.8,0,0,0,,73,51,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/28/2013,2.68,0.52,0,0,,68,56,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/29/2013,1.57,0,0,0,,82,58,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/30/2013,5.14,0,0,0,,90,72,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/31/2013,4.03,0,0,0,,90,75,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/1/2013,3.8,0,0,0,,90,73,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/2/2013,6.04,0.85,0,0,,88,69,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/3/2013,3.36,0.87,0,0,,78,66,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/4/2013,4.92,0,0,0,,75,57,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/5/2013,3.8,0,0,0,,74,58,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/6/2013,5.14,0.13,0,0,,70,59,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/7/2013,8.5,4.16,0,0,,63,59,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/8/2013,3.8,0.48,0,0,,77,57,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/2013,2.24,0,0,0,,80,63,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/2013,5.82,1.38,0,0,,70,62,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/2013,6.49,0.09,0,0,,80,64,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/2013,5.37,0,0,0,,76,65,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/2013,6.71,1.26,0,0,,69,55,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/2013,5.14,0.38,0,0,,72,53,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/2013,3.8,0,0,0,,80,61,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/2013,3.8,0,0,0,,80,65,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/2013,2.68,0.01,0,0,,84,69,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/2013,3.58,0.2,0,0,,84,64,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/2013,5.14,0,0,0,,77,59,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/2013,3.8,0,0,0,,80,62,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/2013,4.92,0,0,0,,82,64,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/2013,4.03,0,0,0,,84,65,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/2013,4.7,0,0,0,,88,70,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/2013,4.25,0,0,0,,92,74,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/2013,3.36,0,0,0,,91,73,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/2013,3.8,0.05,0,0,,85,74,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/2013,4.03,0.24,0,0,,86,73,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/2013,5.14,0,0,0,,85,73,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/2013,3.8,0,0,0,,83,71,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/2013,3.13,0,0,0,,86,73,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2013,3.13,0.84,0,0,,77,72,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2013,2.68,0.08,0,0,,82,72,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2013,4.25,0.53,0,0,,83,73,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2013,4.25,0,0,0,,87,75,1,,,,,,,
